Country,Category,Series,Data Type,Data,Values,Date,Regional Data,Survey Topic,Type of business,Economic segment,Inflation Type,Inflation sub segment
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,31/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,90,07/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,14/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,21/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,28/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,07/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,14/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,21/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,89,28/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,04/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,11/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,18/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,25/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,02/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,88,09/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,16/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,87,23/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,86,30/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,86,06/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,85,13/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults always/often handwashing with soap and water after returning home from a public place,86,20/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,28,24/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,28,31/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,30,07/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,39,14/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,44,21/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,43,28/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,52,05/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,61,12/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,71,19/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,84,26/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,02/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,09/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,16/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,30/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,13/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,20/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,27/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,04/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,11/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,18/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,25/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,01/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,08/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,15/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,22/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,29/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,06/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,13/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,20/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,03/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,10/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,17/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,24/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,94,31/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,07/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,14/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,21/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,95,28/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,07/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,14/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,21/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,28/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,04/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,11/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,18/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,25/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,98,02/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,09/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,16/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,23/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,30/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,06/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,13/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,20/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",76,20/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",82,27/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",82,04/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",82,11/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",83,18/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,25/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",84,01/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",84,08/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,15/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,22/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,29/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,06/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",87,13/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,20/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,03/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,10/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,17/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,24/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,31/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,07/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",91,14/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,21/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,28/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,07/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,14/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",87,21/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,28/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",87,04/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,11/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,18/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,25/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",84,02/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",79,09/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",78,16/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",74,23/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",74,30/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",68,06/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",66,13/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",69,20/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,05/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,12/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,85,19/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,87,26/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,83,02/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,85,09/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,86,16/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,82,30/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,81,13/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,86,20/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,27/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,04/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,11/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,91,18/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,90,25/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,01/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,08/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,90,15/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,91,22/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,90,29/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,06/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,13/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,20/12/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,03/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,10/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,17/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,94,24/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,31/01/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,07/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,14/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,21/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,28/02/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,91,07/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,14/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,21/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,87,28/03/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,87,04/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,85,11/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,86,18/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,84,25/04/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,82,02/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,83,09/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,81,16/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,77,23/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,73,30/05/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,72,06/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,71,13/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,72,20/06/2021,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,39,30/03/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,41,06/04/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,37,13/04/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,30,20/04/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,29,27/04/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,25,03/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,23,10/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,24,14/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,20,17/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,19,24/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,13,31/05/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,13,07/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,15,14/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,11,21/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,20,28/06/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,10,05/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,12/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,19/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,26/07/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,02/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,09/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,4,16/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,4,30/08/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,5,13/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,5,20/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,27/09/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,04/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,11/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,18/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,25/10/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,01/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,08/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,15/11/2020,,,,,,
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,8,22/11/2020,,,,,,
