Country,Category,Series,Data Type,Data,Values,Date
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2021-03-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-03-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-03-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-03-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,96,2021-04-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-04-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-04-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults that have used a face covering when outside their home in the past seven days,97,2021-04-25
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",76,2020-09-20
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",82,2020-09-27
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",82,2020-10-04
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",82,2020-10-11
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",83,2020-10-18
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,2020-10-25
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",84,2020-11-01
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",84,2020-11-08
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2020-11-15
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,2020-11-22
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2020-11-29
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,2020-12-06
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",87,2020-12-13
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,2020-12-20
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2021-01-03
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,2021-01-10
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2021-01-17
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,2021-01-24
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,2021-01-31
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",90,2021-02-07
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",91,2021-02-14
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,2021-02-21
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,2021-02-28
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2021-03-07
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2021-03-14
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",87,2021-03-21
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",86,2021-03-28
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",87,2021-04-04
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",88,2021-04-11
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,2021-04-18
United Kingdom,Social,Timeseries,Survey,"Percentage of adults always/often maintaining social distancing when meeting up with people outside their household, support or childcare bubble",85,2021-04-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,2020-07-05
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,2020-07-12
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,85,2020-07-19
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,87,2020-07-26
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,83,2020-08-02
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,85,2020-08-09
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,86,2020-08-16
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,82,2020-08-30
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,81,2020-09-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,86,2020-09-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,2020-09-27
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,2020-10-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,2020-10-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,91,2020-10-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,90,2020-10-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,2020-11-01
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,2020-11-08
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,90,2020-11-15
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,91,2020-11-22
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,90,2020-11-29
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,2020-12-06
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,2020-12-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,2020-12-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,89,2021-01-03
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,2021-01-10
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,2021-01-17
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,94,2021-01-24
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,2021-01-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,2021-02-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,93,2021-02-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,2021-02-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,2021-02-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,91,2021-03-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,92,2021-03-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,88,2021-03-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,87,2021-03-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,87,2021-04-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,85,2021-04-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,86,2021-04-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults avoiding physical contact when outside their home in the past seven days,84,2021-04-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,39,2020-03-30
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,41,2020-04-06
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,37,2020-04-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,30,2020-04-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,29,2020-04-27
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,25,2020-05-03
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,23,2020-05-10
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,24,2020-05-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,20,2020-05-17
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,19,2020-05-24
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,13,2020-05-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,13,2020-06-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,15,2020-06-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,11,2020-06-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,20,2020-06-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,10,2020-07-05
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,2020-07-12
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-07-19
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,2020-07-26
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-08-02
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2020-08-09
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,4,2020-08-16
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,4,2020-08-30
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,5,2020-09-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,5,2020-09-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,2020-09-27
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-10-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2020-10-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-10-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-10-25
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-11-01
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-11-08
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-11-15
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,8,2020-11-22
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-11-29
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2020-12-06
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2020-12-13
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2020-12-20
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,2021-01-03
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,10,2021-01-10
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,2021-01-17
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,9,2021-01-24
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,8,2021-01-31
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,8,2021-02-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2021-02-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2021-02-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2021-02-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2021-03-07
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,7,2021-03-14
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2021-03-21
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,6,2021-03-28
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,5,2021-04-04
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,5,2021-04-11
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,4,2021-04-18
United Kingdom,Social,Timeseries,Survey,Percentage of adults that self-isolated in the past seven days,4,2021-04-25
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",81,2020-05-17
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",73,2020-05-24
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",63,2020-05-31
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",54,2020-06-07
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",51,2020-06-14
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",42,2020-06-21
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",42,2020-06-28
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",41,2020-07-05
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",34,2020-07-12
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",30,2020-07-19
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",29,2020-07-26
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",27,2020-08-02
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",23,2020-08-09
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",21,2020-08-16
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",24,2020-08-30
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",21,2020-09-13
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",19,2020-09-20
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",24,2020-09-27
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",25,2020-10-04
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",26,2020-10-11
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",26,2020-10-18
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",29,2020-10-25
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",30,2020-11-01
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",32,2020-11-08
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",43,2020-11-15
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",42,2020-11-22
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",40,2020-11-29
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",38,2020-12-06
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",31,2020-12-13
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",32,2020-12-20
United Kingdom,Social,Timeseries,Survey,"Percentage of adults who have either stayed at home or only left for work, exercise, essential shopping or medical needs in the past 7 days",41,2021-01-03
